title,today,total
Uttar Pradesh,52291,167384208
Maharashtra,38909,118304929
West Bengal,12959,94550984
Madhya Pradesh,24130,89988683
Bihar,84879,85359645
Gujarat,39894,82762385
Karnataka,38920,77063092
Tamil Nadu,15441,73072586
Rajasthan,24651,70884889
Andhra Pradesh,79780,61211496
Odisha,6000,44484693
Kerala,3530,43837184
Telangana,10548,38861364
Assam,25219,34093161
Haryana,15117,29246275
Chhattisgarh,12573,26678112
Jharkhand,7728,25098267
Punjab,5473,24546223
Delhi,11387,23241199
Jammu and Kashmir,5782,16891684
Uttarakhand,8415,12943753
Himachal Pradesh,670,11227717
Tripura,139,4606543
Goa,0,2331884
Manipur,576,2192775
Meghalaya,6,1997419
Chandigarh,1090,1595801
Arunachal Pradesh,57,1415051
Mizoram,0,1301412
Nagaland,218,1295307
Puducherry,2411,1273235
Sikkim,0,995610
Dadra and Nagar Haveli,3,627131
Andaman and Nicobar Islands,158,561286
Daman and Diu,0,497431
Ladakh,0,384795
Lakshadweep,0,105461
